Event Name;Event Type;Event Date;Affected Countries;Location;Country Coordinates(Lat);Country Coordinates(Long);Event Description
December 1981 windstorm;Flood;1981-12-13 00:00:00;England,Wales,France;N/A;44,-33.86785,46;-71,151.20732,2;"Storm surge + meldwater
"
Valtellina disaster;Flood;1987-07-28 00:00:00;Italy;N/A;42.83333;12.83333;"heavy rain
"
Piedmont flood;Flood;1994-11-04 00:00:00;Italy;N/A;42.83333;12.83333;"heavy rain for three days lead to extreme discharge of tributaries of Po river
"
Piedmont flood;Flood;1994-11-05 00:00:00;Italy;N/A;42.83333;12.83333;"heavy rain for three days lead to extreme discharge of tributaries of Po river
"
Piedmont flood;Flood;1994-11-06 00:00:00;Italy;N/A;42.83333;12.83333;"heavy rain for three days lead to extreme discharge of tributaries of Po river
"
1997 Central European flood;Flood;1997-07-03 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-04 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-05 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-06 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-07 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-08 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-09 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-10 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-17 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-18 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-19 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-20 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
1997 Central European flood;Flood;1997-07-21 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
