Event Name;Event Type;Event Date;Affected Countries;Location;Country Coordinates(Lat);Country Coordinates(Long);Event Description
Javaugues, France tornado;Tornado;1902-06-02 00:00:00;France;N/A;46;2;"An F3 tornado struck Javaugues and other villages along its 7 km path. With a width of 3 km this is the widest documented tornado that has hit the continent.
"
1904 Moscow tornado;Tornado;1904-06-29 00:00:00;Russia;Moscow, Russia;55.75222;37.61556;"Two strong tornadoes struck the eastern part of Moscow causing severe damage along its 42 km path in a densely populated area and with a width of 400-700m. They killed over 100 people and wounded over 800.
"
"Armavir tornado
";Tornado;1905-03-01 00:00:00;Russia;Armavir, Russia;44.9892;41.1234;"Details unknown.
"
1906 Opladen tornado;Tornado;1906-08-14 00:00:00;Germany;Opladen, Germany;51.06863;7.00387;"An F3 tornado struck several villages along its 15 km path killing 1 person and injuring 25 others.[
]citation needed"
1910 Tornado Outbreak;Tornado;1910-05-11 00:00:00;Germany,Czechia,Austria;N/A;51.5,49.75,47.33333;10.5,15,13.33333;"Tornado outbreak over Central Europe. 1 F3 tornado in Czech Republic struck Klatovy and other villages over a 13 km path with a base of 1 km.[
]citation needed"
1910 Lower Saxony tornadoes;Tornado;1910-06-04 00:00:00;Germany;Lower Saxony, Germany;52.83333;9.16667;"1 F3 tornado and 1 F4 tornado struck Bad Zwischenahn and Ostrhauderfehn.[
]citation needed"
1910 Germany Tornadoes;Tornado;1910-07-22 00:00:00;Germany;N/A;51.5;10.5;"Tornado outbreaks over Germany, with 12 tornadoes, causing severe damage. 1 F3 tornado struck Platten (Rhineland-Palatinate). Several other tornadoes produced F2-F3 damage with paths of 10–30 km.[
]citation needed"
1910 Lombardy tornado;Tornado;1910-07-23 00:00:00;Italy;Lombardy, Italy;45.46427;9.18951;"A violent long-track tornado caused severe damage along a 62 km path N of Milan, in Lombardy, North Italy. The tornado completely destroyed many homes in Busto Arsizio, Solaro, and Saronno killing 36 people and injuring another 50, becoming one of the most destructive Italian tornadoes.[
]citation needed"
1912 Breţcu tornado;Tornado;1912-05-13 00:00:00;Romania;Bretcu, Romania;46.04444;26.32887;"A violent F3 tornado struck the town of Breţcu destroying 1,548 houses and killing 17 people and injuring another 150.[
]citation needed"
1913 Plochingen tornado;Tornado;1913-06-01 00:00:00;Germany;Plochingen, Germany;48.71067;9.41949;"A violent F3 tornado struck Echterdingen and Plochingen traveling for 20 km injuring 40 people. On the same day 2 other tornadoes touched down in Germany, 1 F1 in Nürtingen and 1 in the Taunus region.[
]citation needed"
Barry – Chester, Wales – England tornado;Tornado;1913-10-27 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"Possibly deadliest British tornadic supercell.[
]citation needed"
Itzgrund, Germany tornado;Tornado;1916-01-03 00:00:00;Germany;Itzgrund, Bavaria, Germany;50.12386;10.8801;"A long-track F3 tornado struck the cities of Itzgrund and Grafenwöhr traveling for 85 km killing 1 person and injuring another one. On the same day an F2 tornado struck Greiz.[
]citation needed"
Wiener Neustadt, Austria tornado;Tornado;1916-07-10 00:00:00;Austria;Wiener Neustadt, Vienna, Austria;47.80485;16.23196;"This F4 tornado was the deadliest and strongest tornado in Austria. More than 150 homes were destroyed on a 20 km path. 2 other tornadoes were confirmed on this day: 1 F2 in Theresienfeld (Austria) and 1 F3 tornado in Saxony (Germany)[
]citation needed"
Germany tornado outbreak;Tornado;1920-06-28 00:00:00;Germany;Schleswig-Holstein, Mecklenburg-Vorpommern, Saxony-Anhalt;54.2;9.75;"Small outbreak over the northern part of Germany with 1 F3 tornado that struck Bargteheide, 5 F2 tornadoes that caused 3 injuries and 3 F1 tornadoes.
"
Germany tornado outbreak;Tornado;1920-06-29 00:00:00;Germany;Schleswig-Holstein, Mecklenburg-Vorpommern, Saxony-Anhalt;54.2;9.75;"Small outbreak over the northern part of Germany with 1 F3 tornado that struck Bargteheide, 5 F2 tornadoes that caused 3 injuries and 3 F1 tornadoes.
"
Germany tornado outbreak;Tornado;1920-06-30 00:00:00;Germany;Schleswig-Holstein, Mecklenburg-Vorpommern, Saxony-Anhalt;54.2;9.75;"Small outbreak over the northern part of Germany with 1 F3 tornado that struck Bargteheide, 5 F2 tornadoes that caused 3 injuries and 3 F1 tornadoes.
"
Southern Netherlands tornado outbreak;Tornado;1924-04-26 00:00:00;Netherlands;N/A;52.25;5.75;"[
]citation needed"
Pilisvörösvár, Hungary tornado;Tornado;1924-06-13 00:00:00;Hungary;N/A;47;20;"A strong F4 long-track tornado killed 6 people near Budapest. The storm traveled for 65 km with a large base, up to 1/2 km. Several villages were razed to the ground and an F5 intensity was suspected but according to windspeed it should be an F4.[
]citation needed"
Nice, France tornado;Tornado;1924-12-01 00:00:00;France;N/A;46;2;"An F3 tornado struck the city of Nice damaging the city for 4.5 km in a 100m wide area. 30 people were injured by the storm.[
]citation needed"
Netherlands tornado outbreak;Tornado;1925-08-10 00:00:00;Netherlands,Germany,Czechia;N/A;52.25,51.5,49.75;5.75,10.5,15;"A powerful tornado struck the town of Borculo with several houses destroyed nearly to its foundation walls (F4) and also the church was seriously damaged. Another tornado (F3) killed 1 in Germany in Uetersen injuring another 13.[
]citation needed"
Netherlands tornado outbreak;Tornado;1925-08-11 00:00:00;Netherlands,Germany,Czechia;N/A;52.25,51.5,49.75;5.75,10.5,15;"A powerful tornado struck the town of Borculo with several houses destroyed nearly to its foundation walls (F4) and also the church was seriously damaged. Another tornado (F3) killed 1 in Germany in Uetersen injuring another 13.[
]citation needed"
Netherlands tornado outbreak;Tornado;1925-08-12 00:00:00;Netherlands,Germany,Czechia;N/A;52.25,51.5,49.75;5.75,10.5,15;"A powerful tornado struck the town of Borculo with several houses destroyed nearly to its foundation walls (F4) and also the church was seriously damaged. Another tornado (F3) killed 1 in Germany in Uetersen injuring another 13.[
]citation needed"
Lichtenvoorde – Neede – Tubbergen, Netherlands tornado;Tornado;1927-06-01 00:00:00;Netherlands,Germany;N/A;52.25,51.5;5.75,10.5;"Strong tornadoes over Netherlands and Germany, with 1 tornado near the F5 category in Neede that killed 7 people and another one near Vrees in Germany were 10 people were injured by an F4 tornado. A strong F3 tornado struck Schepsdorf and Lingen causing severe damage along a 6 km path, killing 1 person and injuring 17.[
]citation needed"
Lichtenvoorde – Neede – Tubbergen, Netherlands tornado;Tornado;1927-06-02 00:00:00;Netherlands,Germany;N/A;52.25,51.5;5.75,10.5;"Strong tornadoes over Netherlands and Germany, with 1 tornado near the F5 category in Neede that killed 7 people and another one near Vrees in Germany were 10 people were injured by an F4 tornado. A strong F3 tornado struck Schepsdorf and Lingen causing severe damage along a 6 km path, killing 1 person and injuring 17.[
]citation needed"
Asipovichy tornado;Tornado;1927-06-12 00:00:00;Belarus;N/A;53;28;"At 17.30 local time an F3 tornado crossed the territory of the Staryya Darohi and Asipovichy districts. The tornado destroyed some residential and outbuildings, crops and left a 250–300 m wide сlearing in the forest. One farmer, who was driving a dray, was picked up into the air along with his horse and load of logs and chips and thrown away to a distance. He died two hours later. The tornado threw off a loaded train from the trackbed embankment on the construction site of the Asipovichy-Mahilyow railway line. The observers noted the rotation of the parent cloud. The phenomenon was accompanied by a thunderstorm and torrential rain. The tornado travelled the path of 37 km with a capture width between 100 and 200 m.
"
Austria tornado outbreak;Tornado;1927-09-29 00:00:00;Austria;N/A;47.33333;13.33333;"2 F3 tornadoes caused extensive damage in Sankt Ruprecht an der Raab and Unterrohr. The first tornado destroyed several homes, some also with ground floor walls having collapsed, injuring 10 people over a 20 km path with a width of 1 km. An F1 tornado struck Hirnsdorf damaging some trees and roofs. The third tornado struck Unterrohr and other towns over a 15 km path killing a 14-year-old boy lifted and thrown down and hit by roof tiles.[
]citation needed"
Monza tornado;Tornado;1928-08-29 00:00:00;Italy;Monza, Italy;45.58005;9.27246;"Strong tornado struck the city of Monza killing 8 people and injuring about 60 others.
"
Montello, Italy tornado;Tornado;1930-07-24 00:00:00;Italy;Montello, Veneto, and FriuliItaly;45.83667;12.03361;"This is the strongest tornado in Europe together with the 1845 Montville tornado in France which was very similar in power. The storm possibly crossed almost the entire province of Treviso even going so far in the province of Pordenone with a total path of about 80 km. The event lasted a total of 84 minutes, but perhaps this was not the only event of the day. The storm arrived to unleash winds near 500 km/h  (F5 tornado) and killed 23 people.
"
Naples tornado;Tornado;1930-08-16 00:00:00;Italy;Naples, Italy;40.85216;14.26811;"Strong tornado struck Naples causing severe damage, 4 death and injuring 70 people on 4 km path.
"
