Event Name;Event Type;Event Date;Affected Countries;Location;Country Coordinates(Lat);Country Coordinates(Long);Event Description
Rakvere, Estonia tornado;Tornado;2000-07-15 00:00:00;Estonia;Rakvere, Estonia;59.34639;26.35583;"The F2 tornado destroyed 110 homes and killed one person.[
]citation needed"
Concorezzo tornado;Tornado;2001-07-07 00:00:00;Italy;Concorezzo, Italy;45.58854;9.33393;"A strong F3 tornado struck Concorezzo and Arcore causing severe damage and 92 injuries. 2 other tornadoes (F1 and F2) were recorded on the same day in northern Italy.[
]citation needed"
Tornado outbreak in the north-east of Catalonia and Southern France;Tornado;2001-10-20 00:00:00;Spain,France;Spain, Languedoc-Roussillon;40,43.66667;-4,3.16667;"3 F1 tornadoes and 1 F0 in Spain; 1 F3, 1 F2 and 1 F0-1 in France.[
]citation needed"
Athens, Greece tornado;Tornado;2002-07-27 00:00:00;Greece;Athens, Greece;37.98376;23.72784;"Struck near airport.
"
Romania tornado;Tornado;2002-08-12 00:00:00;Romania;N/A;46;25;"A strong F3+ tornado struck several villages in southern Romania. 33 houses were destroyed on a 74 km path. The storm killed 3 people and injured 15 others. Another tornado struck near Floreasca.[
]citation needed"
Cyprus tornadoes;Tornado;2003-01-27 00:00:00;Cyprus;N/A;35;33;"Tornadoes and waterspouts; Limassol worst hit with a F2 tornado.
"
Tornado outbreak in Catalonia, Spain;Tornado;2003-08-17 00:00:00;Spain;N/A;40;-4;"1 F2 tornado (180 km/h in la Culla – Manresa), 1 F1 tornado and 1 F0 tornado. Some downbursts were detected in Osona and Baix Camp.[
]citation needed"
Cyprus tornado outbreak;Tornado;2004-01-22 00:00:00;Cyprus;N/A;35;33;"Severe weather outbreak with several F1-2 tornadoes and waterspouts.
"
Late June outbreak;Tornado;2004-06-23 00:00:00;Germany;N/A;51.5;10.5;"At least one F1, an F2, and an F3 tornado caused significant damage. The villages of Micheln and Trebbichau in Saxony-Anhalt were heavily impacted by one of the most damaging tornadoes in modern German history.[
]citation needed"
Kontiolahti, Viinijärvi tornadoes;Tornado;2004-08-20 00:00:00;Finland;N/A;64;26;"An F3 (track 10 km) and 2 F1 tornadoes were reported.[
]citation needed"
