Event Name;Event Type;Event Date;Affected Countries;Location;Country Coordinates(Lat);Country Coordinates(Long);Event Description
Christ's Ascension Day outbreak;Tornado;1979-05-24 00:00:00;Germany;N/A;51.5;10.5;"A major outbreak struck parts of Eastern Germany with one violent F4 tornado near Bad Liebenwerda (Brandenburg) where harvesters were sent flying.[
]citation needed"
Christ's Ascension Day outbreak;Tornado;1979-05-24 06:00:00;Germany;N/A;51.5;10.5;"A major outbreak struck parts of Eastern Germany with one violent F4 tornado near Bad Liebenwerda (Brandenburg) where harvesters were sent flying.[
]citation needed"
Christ's Ascension Day outbreak;Tornado;1979-05-24 12:00:00;Germany;N/A;51.5;10.5;"A major outbreak struck parts of Eastern Germany with one violent F4 tornado near Bad Liebenwerda (Brandenburg) where harvesters were sent flying.[
]citation needed"
Christ's Ascension Day outbreak;Tornado;1979-05-24 18:00:00;Germany;N/A;51.5;10.5;"A major outbreak struck parts of Eastern Germany with one violent F4 tornado near Bad Liebenwerda (Brandenburg) where harvesters were sent flying.[
]citation needed"
Fastnet Disaster Storm;Windstorm;1979-08-13 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"An unusual storm during the 1979 Fastnet yachting race resulted in 24 yachts being disabled or lost and 15 fatalities.

"
Fastnet Disaster Storm;Windstorm;1979-08-13 06:00:00;United Kingdom;N/A;54.75844;-2.69531;"An unusual storm during the 1979 Fastnet yachting race resulted in 24 yachts being disabled or lost and 15 fatalities.

"
Fastnet Disaster Storm;Windstorm;1979-08-13 12:00:00;United Kingdom;N/A;54.75844;-2.69531;"An unusual storm during the 1979 Fastnet yachting race resulted in 24 yachts being disabled or lost and 15 fatalities.

"
Fastnet Disaster Storm;Windstorm;1979-08-13 18:00:00;United Kingdom;N/A;54.75844;-2.69531;"An unusual storm during the 1979 Fastnet yachting race resulted in 24 yachts being disabled or lost and 15 fatalities.

"
Fastnet Disaster Storm;Windstorm;1979-08-14 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"An unusual storm during the 1979 Fastnet yachting race resulted in 24 yachts being disabled or lost and 15 fatalities.

"
Fastnet Disaster Storm;Windstorm;1979-08-14 06:00:00;United Kingdom;N/A;54.75844;-2.69531;"An unusual storm during the 1979 Fastnet yachting race resulted in 24 yachts being disabled or lost and 15 fatalities.

"
Fastnet Disaster Storm;Windstorm;1979-08-14 12:00:00;United Kingdom;N/A;54.75844;-2.69531;"An unusual storm during the 1979 Fastnet yachting race resulted in 24 yachts being disabled or lost and 15 fatalities.

"
Fastnet Disaster Storm;Windstorm;1979-08-14 18:00:00;United Kingdom;N/A;54.75844;-2.69531;"An unusual storm during the 1979 Fastnet yachting race resulted in 24 yachts being disabled or lost and 15 fatalities.

"
Ukraine tornado outbreak;Tornado;1980-06-02 00:00:00;Ukraine;N/A;49;32;"4 tornadoes were confirmed. 3 of them were of F2 strength, while the first tornado was an F1.[
]citation needed"
Ukraine tornado outbreak;Tornado;1980-06-02 06:00:00;Ukraine;N/A;49;32;"4 tornadoes were confirmed. 3 of them were of F2 strength, while the first tornado was an F1.[
]citation needed"
Ukraine tornado outbreak;Tornado;1980-06-02 12:00:00;Ukraine;N/A;49;32;"4 tornadoes were confirmed. 3 of them were of F2 strength, while the first tornado was an F1.[
]citation needed"
Ukraine tornado outbreak;Tornado;1980-06-02 18:00:00;Ukraine;N/A;49;32;"4 tornadoes were confirmed. 3 of them were of F2 strength, while the first tornado was an F1.[
]citation needed"
Mid June outbreak;Tornado;1980-06-14 00:00:00;Germany;N/A;51.5;10.5;"Some tornadoes struck the Central German states of Thuringia and Saxony-Anhalt. A camp site was severely damaged with some fatalities. The tornadoes were classified as F1-F2 strength.[
]citation needed"
Mid June outbreak;Tornado;1980-06-14 06:00:00;Germany;N/A;51.5;10.5;"Some tornadoes struck the Central German states of Thuringia and Saxony-Anhalt. A camp site was severely damaged with some fatalities. The tornadoes were classified as F1-F2 strength.[
]citation needed"
Mid June outbreak;Tornado;1980-06-14 12:00:00;Germany;N/A;51.5;10.5;"Some tornadoes struck the Central German states of Thuringia and Saxony-Anhalt. A camp site was severely damaged with some fatalities. The tornadoes were classified as F1-F2 strength.[
]citation needed"
Mid June outbreak;Tornado;1980-06-14 18:00:00;Germany;N/A;51.5;10.5;"Some tornadoes struck the Central German states of Thuringia and Saxony-Anhalt. A camp site was severely damaged with some fatalities. The tornadoes were classified as F1-F2 strength.[
]citation needed"
Mid June outbreak;Tornado;1980-06-15 00:00:00;Germany;N/A;51.5;10.5;"Some tornadoes struck the Central German states of Thuringia and Saxony-Anhalt. A camp site was severely damaged with some fatalities. The tornadoes were classified as F1-F2 strength.[
]citation needed"
Mid June outbreak;Tornado;1980-06-15 06:00:00;Germany;N/A;51.5;10.5;"Some tornadoes struck the Central German states of Thuringia and Saxony-Anhalt. A camp site was severely damaged with some fatalities. The tornadoes were classified as F1-F2 strength.[
]citation needed"
Mid June outbreak;Tornado;1980-06-15 12:00:00;Germany;N/A;51.5;10.5;"Some tornadoes struck the Central German states of Thuringia and Saxony-Anhalt. A camp site was severely damaged with some fatalities. The tornadoes were classified as F1-F2 strength.[
]citation needed"
Mid June outbreak;Tornado;1980-06-15 18:00:00;Germany;N/A;51.5;10.5;"Some tornadoes struck the Central German states of Thuringia and Saxony-Anhalt. A camp site was severely damaged with some fatalities. The tornadoes were classified as F1-F2 strength.[
]citation needed"
1981 Lithuania tornado;Tornado;1981-05-29 00:00:00;Lithuania;N/A;55.41667;24;"An F2 tornado travelled for 6 km with a path 100-300m wide. This was the strongest known tornado that hit the country. One fatality documented.
"
1981 Lithuania tornado;Tornado;1981-05-29 06:00:00;Lithuania;N/A;55.41667;24;"An F2 tornado travelled for 6 km with a path 100-300m wide. This was the strongest known tornado that hit the country. One fatality documented.
"
1981 Lithuania tornado;Tornado;1981-05-29 12:00:00;Lithuania;N/A;55.41667;24;"An F2 tornado travelled for 6 km with a path 100-300m wide. This was the strongest known tornado that hit the country. One fatality documented.
"
1981 Lithuania tornado;Tornado;1981-05-29 18:00:00;Lithuania;N/A;55.41667;24;"An F2 tornado travelled for 6 km with a path 100-300m wide. This was the strongest known tornado that hit the country. One fatality documented.
"
Moerdijk, Netherlands tornado;Tornado;1981-10-06 00:00:00;Netherlands;North Brabant, Netherlands;51.44083;5.47778;"NLM CityHopper Flight 431 encountered tornado shortly after takeoff and crashed.
"
Moerdijk, Netherlands tornado;Tornado;1981-10-06 06:00:00;Netherlands;North Brabant, Netherlands;51.44083;5.47778;"NLM CityHopper Flight 431 encountered tornado shortly after takeoff and crashed.
"
Moerdijk, Netherlands tornado;Tornado;1981-10-06 12:00:00;Netherlands;North Brabant, Netherlands;51.44083;5.47778;"NLM CityHopper Flight 431 encountered tornado shortly after takeoff and crashed.
"
Moerdijk, Netherlands tornado;Tornado;1981-10-06 18:00:00;Netherlands;North Brabant, Netherlands;51.44083;5.47778;"NLM CityHopper Flight 431 encountered tornado shortly after takeoff and crashed.
"
"1981 Storm series
";Windstorm;1981-11-23 00:00:00;Denmark,Sweden;N/A;56,62;10,15;"
November 23–24 A severe storm affected Denmark and southern Sweden, killing two, with a storm surge breaking sea dikes along the Jutland coast. 23 November also saw 102 tornados reported in Britain.
"
1981 United Kingdom tornado outbreak;Tornado;1981-11-23 00:00:00;United Kingdom;N/A;54.75844;-2.69531;Largest known European outbreak though predominately weak tornadoes.
"1981 Storm series
";Windstorm;1981-11-23 06:00:00;Denmark,Sweden;N/A;56,62;10,15;"
November 23–24 A severe storm affected Denmark and southern Sweden, killing two, with a storm surge breaking sea dikes along the Jutland coast. 23 November also saw 102 tornados reported in Britain.
"
1981 United Kingdom tornado outbreak;Tornado;1981-11-23 06:00:00;United Kingdom;N/A;54.75844;-2.69531;Largest known European outbreak though predominately weak tornadoes.
"1981 Storm series
";Windstorm;1981-11-23 12:00:00;Denmark,Sweden;N/A;56,62;10,15;"
November 23–24 A severe storm affected Denmark and southern Sweden, killing two, with a storm surge breaking sea dikes along the Jutland coast. 23 November also saw 102 tornados reported in Britain.
"
1981 United Kingdom tornado outbreak;Tornado;1981-11-23 12:00:00;United Kingdom;N/A;54.75844;-2.69531;Largest known European outbreak though predominately weak tornadoes.
"1981 Storm series
";Windstorm;1981-11-23 18:00:00;Denmark,Sweden;N/A;56,62;10,15;"
November 23–24 A severe storm affected Denmark and southern Sweden, killing two, with a storm surge breaking sea dikes along the Jutland coast. 23 November also saw 102 tornados reported in Britain.
"
1981 United Kingdom tornado outbreak;Tornado;1981-11-23 18:00:00;United Kingdom;N/A;54.75844;-2.69531;Largest known European outbreak though predominately weak tornadoes.
"1981 Storm series
";Windstorm;1981-11-24 00:00:00;Denmark,Sweden;N/A;56,62;10,15;"
November 23–24 A severe storm affected Denmark and southern Sweden, killing two, with a storm surge breaking sea dikes along the Jutland coast. 23 November also saw 102 tornados reported in Britain.
"
"1981 Storm series
";Windstorm;1981-11-24 06:00:00;Denmark,Sweden;N/A;56,62;10,15;"
November 23–24 A severe storm affected Denmark and southern Sweden, killing two, with a storm surge breaking sea dikes along the Jutland coast. 23 November also saw 102 tornados reported in Britain.
"
"1981 Storm series
";Windstorm;1981-11-24 12:00:00;Denmark,Sweden;N/A;56,62;10,15;"
November 23–24 A severe storm affected Denmark and southern Sweden, killing two, with a storm surge breaking sea dikes along the Jutland coast. 23 November also saw 102 tornados reported in Britain.
"
"1981 Storm series
";Windstorm;1981-11-24 18:00:00;Denmark,Sweden;N/A;56,62;10,15;"
November 23–24 A severe storm affected Denmark and southern Sweden, killing two, with a storm surge breaking sea dikes along the Jutland coast. 23 November also saw 102 tornados reported in Britain.
"
"1981 Storm series
";Windstorm;1981-12-13 00:00:00;United Kingdom,France;N/A;54.75844,46;-2.69531,2;"
1981 December storm In England, high tides combined with a storm surge resulted in extensive flooding and £6 million worth of damage along the Somerset coast of the Bristol Channel, with the highest water recorded in the Channel since the start of the century. In France, the storm caused widespread flooding in the south west, causing considerable damage in the river basins of the Garonne and Adour and flooding Bordeaux. Water entered the cooling water pump house of Hinkley Point nuclear power station, causing a shut-down for weeks after the storm.
"
December 1981 windstorm;Flood;1981-12-13 00:00:00;England,Wales,France;N/A;44,-33.86785,46;-71,151.20732,2;"Storm surge + meldwater
"
"1981 Storm series
";Windstorm;1981-12-13 06:00:00;United Kingdom,France;N/A;54.75844,46;-2.69531,2;"
1981 December storm In England, high tides combined with a storm surge resulted in extensive flooding and £6 million worth of damage along the Somerset coast of the Bristol Channel, with the highest water recorded in the Channel since the start of the century. In France, the storm caused widespread flooding in the south west, causing considerable damage in the river basins of the Garonne and Adour and flooding Bordeaux. Water entered the cooling water pump house of Hinkley Point nuclear power station, causing a shut-down for weeks after the storm.
"
December 1981 windstorm;Flood;1981-12-13 06:00:00;England,Wales,France;N/A;44,-33.86785,46;-71,151.20732,2;"Storm surge + meldwater
"
